Compound name (unique),Compound name(synonyms),HMDB,KEGG,HMT ID,InChIKey
Caffeine,"Caffeine;caffeine;1,3,7-Trimethylxanthine;Guaranine;Thein;Methyltheobromine;Cafeina;Theine;Koffein;Mateina;Alert-pep;Caffein;Cafipel;Coffeine;Refresh'n;Caffedrine;Stim;Cafamil;Cafecon;Caffine;Dexitac;Nodaca;Anhydrous caffeine;No-Doz;Eldiatric C;7-Methyltheophylline;Hycomine;Organex;Vivarin;Nix Nap;Methyltheobromide;3,7-Dihydro-1,3,7-trimethyl-1H-purine-2,6-dione;Coffein;Phensal;Caffeine, synthetic;Quick-Pep;Coffeinum;Tirend;1,3,7-Trimethyl-2,6-dioxopurine;Theophylline, 7-methyl;DHCplus;Tri-Aqua;1,3,7-Trimethylpurine-2,6-dione;1H-Purine-2,6-dione, 3,7-dihydro-1,3,7-trimethyl-;Kofein;Miudol;Caffeine, anhydrous;Theobromine, 1-methyl-;Propoxyphene Compound 65;1,3,7-Trimethyl-3,7-dihydro-1H-purine-2,6-dione;Kofein [Czech];Coffein [German];Koffein [German];1-methyltheobromine;Xanthine, 1,3,7-trimethyl;Theophylline Me;Methylxanthine theophylline;Anacin;Anacin Maximum Strength;P-A-C Analgesic Tablets;A.S.A. and Codeine Compound;1,3,7-trimethyl-1H-purine-2,6(3H,7H)-dione;caffenium;Caffeina;1,3,7-trimethyl-1,3,7-trihydropurine-2,6-dione;cafeine;peyona;teina;Monohydrate Caffeine;1-methyl-Theobromine;7-methyl Theophylline;3,7-dihydro-1,3,7-trimethyl-1H-purine;Xanthine,3,7-trimethyl;Theine, methyltheobromine;1, 3, 7-Trimethylxanthine;1,3,7-trimethyl-2,6-dioxo-1,2,3,6-tetrahydropurine;1,7-Trimethyl-2,6-dioxopurine;caffeine (1,3,7-trimethylxanthine);3,3,7-trimethyl-1H-purine-2,6-dione;1,3,7-trimethyl-3,7-dihydropurine-2,6-dione;1H-Purine-2, 3,7-dihydro-1,3,7-trimethyl-;3,7-Dihydro-1,3,7-trimethyl-1H-purin-2,6-dion;Caffeine-D3",HMDB0001847,C07481,M01438,
Chenodeoxycholic acid,"Chenodeoxycholic acid;chenodeoxycholic acid;Chenodiol;Chenix;Chenic acid;Chenodeoxycholate;Chenodesoxycholic acid;Gallodesoxycholic acid;Chendol;Anthropodeoxycholic acid;Anthropodesoxycholic acid;Chenofalk;Anthropododesoxycholic acid;Chenodesoxycholsaeure;Xenbilox;Chenocholic acid;3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid;Sodium chenodeoxycholate;Acido chenodeoxicholico;3alpha,7alpha-Dihydroxy-5beta-cholanic acid;Acide chenodeoxycholique;7-alpha-Hydroxylithocholic acid;Acidum chenodeoxycholicum;7alpha-hydroxylithocholic acid;3-alpha,7-alpha-Dihydroxycholanic acid;3-alpha,7-alpha-Dihydroxycholansaeure;3-alpha,7-alpha-Dihydroxy-5-beta-cholan-24-oic acid;Cholan-24-oic acid, 3,7-dihydroxy-, (3alpha,5beta,7alpha)-;5-beta-Cholan-24-oic acid, 3-alpha,7-alpha-dihydroxy-;(3alpha,5beta,7alpha,8xi)-3,7-dihydroxycholan-24-oic acid;Henohol;Chenique Acid;5beta-Cholanic acid-3alpha,7alpha-diol;Chendeoxycholic Acid;Chenocedon;Chendal;Chenocol;Chenodex;Chenorm;Chenossil;Cholanorm;Fluibil;Hekbilin;Kebilis;Cholan-24-oic acid, 3,7-dihydroxy-, (3.alpha.,5.beta.,7.alpha.)-;chenodeoxycholic-acid;(3alpha,5beta,7alpha)-3,7-dihydroxycholan-24-oic acid;7a-Hydroxy-desoxycholsaeure;3a,7a-dihydroxy-5b-cholanate;7.alpha.-Hydroxylithocholic acid;3a,7a-dihydroxy-5b-cholanic acid;(3beta,7beta,8xi,9xi,14xi,17alpha)-3,7-dihydroxycholan-24-oic acid;3a,7a-dihydroxy-5b-cholan-24-oate;Cholan-24-oic acid, 3,7-dihydroxy-, (3-alpha,5-beta,7-alpha)-;3.alpha.,7.alpha.-Dihydroxycholansaeure;3a,7a-dihydroxy-5b,14a,17b-cholanate;3a,7a-dihydroxy-5b-cholan-24-oic acid;3.alpha.,7.alpha.-Dihydroxycholanic acid;3a,7a-dihydroxy-5b,14a,17b-cholanic acid;(3a,5b,7a)-3,7-dihydroxy-cholan-24-oate;3alpha, 7alpha-dihydroxy-5beta-cholanoic acid;3alpha, 7alpha,-dihydroxy-5beta-cholanic acid;(3a,5b,7a)-3,7-dihydroxy-cholan-24-oic acid;3.alpha.,7.alpha.-Dihydroxy-5.beta.-cholanic acid;Dihydroxy-3.alpha.,7.alpha.(5.beta.)Cholanic acid;(3|A,5|A,7|A)-3,7-Dihydroxycholan-24-oic Acid;3.alpha.,7.alpha.-Dihydroxy-5.beta.-cholanoic acid;3.alpha.,7.alpha.-Dihydroxy-5.beta.-cholan-24-oic acid",HMDB0000518,C02528,,
Chlorogenic acid,"Chlorogenic acid;CHLOROGENIC ACID;3-(3,4-Dihydroxycinnamoyl)quinic acid;3-O-Caffeoylquinic acid;Heriguard;3-Caffeoylquinic acid;Chlorogenate;Hlorogenic acid;Caffeoyl quinic acid;Caffetannic acid;5-O-(3,4-Dihydroxycinnamoyl)-L-quinic acid;(E)-chlorogenic acid;1,3,4,5-tetrahydroxycyclohexanecarboxylic acid 3-(3,4-dihydroxycinnamate);Cyclohexanecarboxylic acid, 3-((3-(3,4-dihydroxyphenyl)-1-oxo-2-propenyl)oxy)-1,4,5-trihydroxy-, (1S-(1-alpha,3-beta,4-alpha,5-alpha))-;Cyclohexanecarboxylic acid, 3-[[3-(3,4-dihydroxyphenyl)-1-oxo-2-propenyl]oxy]-1,4,5-trihydroxy-, (1S,3R,4R,5R)-;3-O-(3,4-Dihydroxycinnamoyl)-D-quinic acid;(1S,3R,4R,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylic acid;trans-5-O-Caffeoylquinic acid;Chlorogenicacid;caffeoylquinic acid;3-O-caffeoyl-D-quinic acid;Chlorogenic-acid;1,3,4,5-Tetrahydroxycyclohexanecarboxylic acid 3-(3,4-dihydroxycinnamate;3-Caffeoylquinate;5-Caffeoylquinic acid;3-[[3-(3,4-Dihydroxyphenyl)-1-oxo-2-propenyl]oxy] 1,4,5-trihydroxycyclohexanecarboxylic acid;5-caffeoyl quinic acid;CP chlorogenic acid;5-O-Caffeoylquinic acid;(+)-Chlorogenic acid;3-trans-Caffeoylquinic acid;Hlorogenate;Helianthic acid;Igasuric acid;Caffeylquinic acid;trans-Caffeic acid 5-o-D-quinate;3-(3,4-Dihydroxycinnamoyl)quinate;Hoodia Chinese Extract;Chlorogenic acid, Chiral;Quinic acid, 5-caffeoyl-",HMDB0003164,C00852,M99056,
Cholesterol sulfate,"Cholesterol sulfate;Cholesterol sulfate;Cholesteryl sulfate;cholesterol sulphate;Cholesterol 3-sulfate;CHOLEST-5-EN-3-YL HYDROGEN SULFATE;Cholest-5-en-3beta-ol sulfate;Chol-sulf;CHOLESTEROL-SULFATE;Cholesterol hydrogen sulfate;UNII-KU576NT9O9;cholesteryl sulphate;cholest-5-en-3beta-yl hydrogen sulfate;Cholesterol 3-sulphate;Cholesterol sulfic acid;5-Cholesten-3b-yl sulphate;(3alpha,8alpha,17alpha)-cholest-5-en-3-yl hydrogen sulfate",HMDB0000653,C18043,M99072,
Cinnamic acid,"Cinnamic acid;trans-cinnamic acid;(E)-Cinnamic acid;trans-3-Phenylacrylic acid;E-Cinnamic Acid;Zimtsaeure;(2E)-3-phenylprop-2-enoic acid;(E)-3-phenylprop-2-enoic acid;3-Phenylacrylic acid;trans-Cinnamate;trans-beta-Carboxystyrene;3-phenylprop-2-enoic acid;(E)-3-Phenyl-2-propenoic acid;Phenylacrylic acid;(E)-cinnamate;Benzeneacrylic acid;trans-3-Phenyl-2-propenoic acid;Benzenepropenoic acid;Cinnamylic acid;3-Phenyl-2-propenoic acid;3-Phenylpropenoic acid;t-Cinnamic acid;(2E)-3-Phenyl-2-propenoic acid;2-Propenoic acid, 3-phenyl-, (E)-;beta-Phenylacrylic acid;PHENYLETHYLENECARBOXYLIC ACID;Cinnamic acid(only trans);Benzylideneacetic acid;(2E)-3-phenylacrylic acid;.beta.-Phenylacrylic acid;(E)-3-Phenylacrylic acid;trans-Zimtsaeure;trans cinnamic acid;Cinnamic Acid Natural;trans-b-Carboxystyrene;trans-3-Phenylacrylate;(E)-3-Phenylacrylate;E-3-phenylpropenoic acid;trans-.beta.-Carboxystyrene;(E)-3-phenyl-acrylic acid;3-phenyl-2E-propenoic acid;Zimtsaeure | trans-Cinnamate;(E)-3-phenylprop-2-enoate;trans-3-Phenyl-2-propenoate;tert-.beta.-Phenylacrylic acid;(2E)-2-Phenyl-2-propenoate;(2E)-3-Phenyl-2-propenoate;(2E)-2-Phenyl-2-propenoic acid;trans-Cinnamic acid, analytical standard;trans-cinnamic acid (trans-3-phenylacrylic acid)",HMDB0000567,C10438,M00260,
Citraconic acid,"Citraconic acid;Citraconic acid;2-methylmaleic acid;2-Methyl-2-butenedioic acid;Citraconate;cis-Methylbutenedioic acid;(Z)-2-Methyl-2-butenedioic acid;Maleic acid, methyl-;Citraconsaeure;2-Methylmaleate;Methyl-maleinsaeure;Kyselina citrakonova;(2Z)-2-methylbut-2-enedioic acid;alpha-methylmaleic acid;cis-2-methylbutenedioic acid;2-methyl-2Z-butenedioic acid;Citronic acid;methylfumarate;(E)-Citraconic acid;(E)-Methylbutendiasure;citraconicacid;citraconsaure;Methylmaleate;Citronate;(E)-Citraconate;(Z)-2-methylbut-2-enedioic acid;2-methyl maleic acid;Maleic acid, 2-methyl-;(Z)-2-Methyl-2-butenedioate;trans-2-Methyl-2-butenedioate;(2E)-2-Methyl-2-butenedioate;trans-1-Propene-1,2-dicarboxylate;(2E)-2-Methyl-2-butenedioic acid",HMDB0000634,C02226,M00271,
Cotinine,"Cotinine;cotinine;(S)-Cotinine;Cotinina;Cotininum;(5S)-1-methyl-5-(pyridin-3-yl)pyrrolidin-2-one;(S)-(-)-Cotinine;2-Pyrrolidinone, 1-methyl-5-(3-pyridinyl)-, (5S)-;(S)-1-Methyl-5-(3-pyridinyl)-2-pyrrolidinone;(S)-1-methyl-5-(pyridin-3-yl)pyrrolidin-2-one;(S)-1-Methyl-5-(3-pyridyl)-2-pyrrolidinone;S(-)-1-Methyl-5-(3-pyridyl)-2-pyrrolidone;(5S)-1-methyl-5-(3-pyridyl)pyrrolidin-2-one;(5S)-1-methyl-5-pyridin-3-ylpyrrolidin-2-one;(5S)-1-methyl-5-(3-pyridinyl)-2-pyrrolidinone;(5S)-1-methyl-5-pyridin-3-yl-pyrrolidin-2-one;(S)-(-)-1-Methyl-5-(3-pyridyl)-2-pyrrolidinone",NA,NA,,UIKROCXWUNQSPJ-VIFPVBQESA-N
Cyclohexanone,"Cyclohexanone;Ketohexamethylene;Pimelic ketone;Sextone;Cyclohexyl ketone;Nadone;Anone;Anon;Cyclohexanon;Hytrol O;Hexanon;ketocyclohexane;oxocyclohexane;Pimelin ketone;Cykloheksanon;Cicloesanone;Cyclohexanone, homopolymer;Hytrolo;Cyclic ketone;cyclohexyloxy;cyclohexan-1-one;cylcohexanone;cylohexanone;cyclo-hexanone;2-cyclohexanone;4-cyclohexanone;Cyclohexanone homopolymer",HMDB0003315,C00414,,
Cytosine,Cytosine;cytosine,HMDB0000630,C00380,M00007,
dADP,dADP;2'-Deoxyadenosine 5'-diphosphate;2'-deoxyadenosine-5'-diphosphate;Deoxyadenosine diphosphate;Deoxyadenosine diphosphate(dADP),HMDB0001508,C00206,M00321,
dATP,"dATP;Deoxyadenosine triphosphate;2'-deoxyadenosine 5'-triphosphate;2'-deoxyadenosine triphosphate;deoxy-ATP;Deoxyadenosine 5'-triphosphate;UNII-K8KCC8SH6N;2'-Deoxyadenosine 5'-(tetrahydrogen triphosphate);2'-deoxyadenosine-5'-triphosphate;2'-Deoxy-ATP;2'-Deoxy-5'-ATP;[[(2R,3S,5R)-5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate;ADENOSINE, 2'-DEOXY-, 5'-(TETRAHYDROGEN TRIPHOSPHATE);(((2R,3S,5R)-5-(6-Amino-9H-purin-9-yl)-3-hydroxytetrahydrofuran-2-yl)methyl)triphosphoric acid;[[(2R,3S,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] phosphono hydrogen phosphate;2'-Deoxyformycin-5'-triphosphate;ATP,2'-deoxy;5'-DATP;4-26-00-03593 (Beilstein Handbook Reference);deoxy[ 3h]adenosine 5'-triphosphate;deoxy-ATP, 2'-deoxyadenosine triphosphate, Deoxyadenosine 5'-triphosphate;({[({[(2R,3S,5R)-5-(6-amino-9H-purin-9-yl)-3-hydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)phosphonic acid;[(2R,3S,5R)-5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methyl (hydroxy-phosphonooxyphosphoryl) hydrogen phosphate",HMDB0001532,C00131,M00088,
dCDP,"dCDP;Deoxycytidine diphosphate;2'-deoxycytidine diphosphate;2'-Deoxycytidine 5'-diphosphate;2'-deoxycytidine-5'-diphosphate;Deoxycytidine 5'-diphosphate;D-1beta-Ribofuranosylcytosine diphosphate;2'-deoxycytidine 5'-(trihydrogen diphosphate);Cytidine 5'-(trihydrogen diphosphate), 2'-deoxy-;2'-deoxy-Cytidine pyrophosphate;2'-deoxy-Cytidine 5'-pyrophosphate;Cytidine, 2'-deoxy-, pyrophosphate;Cytidine, 2'-deoxy-, 5'-pyrophosphate;delta-1beta-Ribofuranosylcytosine diphosphate;Cytidine, 2'-deoxy-, 5'-(trihydrogen pyrophosphate);4-amino-1-[2-deoxy-5-O-[hydroxy(phosphonooxy)phosphinyl]-beta-D-erythro-pentofuranosyl]-2(1H)-pyrimidinone;4-amino-1-[2-deoxy-5-O-[hydroxy(phosphonooxy)phosphinyl]-beta-delta-erythro-pentofuranosyl]-2(1H)-pyrimidinone",HMDB0001245,C00705,M00323,
dCMP,"dCMP;2'-Deoxycytidine-5'-monophosphoric acid;deoxycytidylic acid;deoxycytidine monophosphate;2'-DEOXYCYTIDINE-5'-MONOPHOSPHATE;2'-Deoxycytidine 5'-monophosphate;Deoxycytidylate;Deoxycytidine-5'-monophosphoric acid;Polydeoxycytidylic acid;2'-deoxy-5'-cytidylic acid;deoxycytidine dihydrogen phosphate;deoxycytidine-phosphate;2'-DEOXYCYTIDINE-5'-MONOPHOSPHATE FREE ACID;2_-Deoxycytidine 5_-Monophosphate;Cytidine 5'-(dihydrogen phosphate);2'-Deoxycytidine 5'-monophosphate sodium salt;1beta-Deoxyribofuranosylcytosine-5'-phosphate,d;2'-Deoxycytidinemonophosphate;2'-deoxycytidine-5'-phosphate;2'-deoxycytosine 5'-monophosphate;2'-Deoxycytidine-5'-monophosphorate;2?-Deoxycytidine-5?-monophosphate,free acid;1-(2-Deoxy-5-O-phosphonopentofuranosyl)-4-imino-1,4-dihydropyrimidin-2-ol",HMDB0001202,C00239,M00317,
Deoxyadenosine,"Deoxyadenosine;2'-deoxyadenosine;deoxyadenosine;Adenyldeoxyriboside;Adenine deoxyribose;Adenine deoxyribonucleoside;Desoxyadenosine;2-Deoxyadenosine;2'-Deoxyformycin A;Adenine deoxy nucleoside;Adenine deoxyriboside;beta-D-erythro-Pentofuranoside, adenine-9 2-deoxy-;(2R,3S,5R)-5-(6-amino-9H-purin-9-yl)-2-(hydroxymethyl)oxolan-3-ol;9H-Purin-6-amine, 9-(2-deoxy-beta-D-ribofuranosyl)-;9H-Purin-6-amine, 9-(2-deoxy-beta-D-erythro-pentofuranosyl)-;beta-D-Ribofuranose, 1-(6-amino-9H-purin-9-yl)-1,2-dideoxy-;(2R,3S,5R)-5-(6-Aminopurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol;9-(2-Deoxy-beta-D-erythro-pentofuranosyl)adenine;desoxyadenosin;9-(2-deoxy-beta-D-ribofuranosyl)-9H-purin-6-amine;(2R,3S,5R)-5-(6-aminopurin-9-yl)-2-(hydroxymethyl)tetrahydrofuran-3-ol;2'-deoxy-d-adenosine;(3S,2R,5R)-5-(6-aminopurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol;5-(6-AMINO-PURIN-9-YL)-2-HYDROXYMETHYL-TETRAHYDRO-FURAN-3-OL;2-deoxy-adenosine;9-(2-Deoxy-b-D-ribofuranosyl)adenine;(R)-1-C-(7-Amino-1H-pyrazolo(4,3-d)pyrimidin-3-yl)-1,4-anhydro-2-deoxy-D-erythro-pentitol;2'-Deoxyadenosine monohydrate, >=99%;9-(2-Deoxy-b-D-erythro-pentofuranosyl)adenine;adenine-9 2-deoxy-b-D-erythro-Pentofuranoside;9-(2-deoxy-b-D-ribofuranosyl)-9H-Purin-6-amine;Adenine-9 2-deoxy-beta-D-erythro-Pentofuranoside;adenine-9 2-deoxy-beta-delta-erythro-Pentofuranoside;9-(2'-Deoxy-.beta.-D-erythro-pentofuranosyl)adenine;9-(2-Deoxy-beta-delta-erythro-pentofuranosyl)adenine;9-(2-deoxy-beta-delta-ribofuranosyl)-9H-Purin-6-amine;1-(6-amino-9H-purin-9-yl)-1,2-dideoxy-b-D-Ribofuranose;9-(2-deoxy-b-D-erythro-pentofuranosyl)-9H-Purin-6-amine;1-(6-amino-9H-purin-9-yl)-1,2-dideoxy-beta-D-Ribofuranose;9-(2-deoxy-beta-D-erythro-pentofuranosyl)-9H-Purin-6-amine;1-(6-amino-9H-purin-9-yl)-1,2-dideoxy-beta-delta-Ribofuranose;9-(2-deoxy-beta-delta-erythro-pentofuranosyl)-9H-Purin-6-amine",HMDB0000101,C00559,M00356,
Deoxycytidine,"Deoxycytidine;2'-Deoxycytidine;2'-deoxycytidine;deoxycytidine;Deoxyribose cytidine;Cytosine deoxyriboside;4-Amino-1-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)pyrimidin-2(1H)-one;Cytosine, deoxyribonucleoside;d-cytidine;2 -Deoxycytidine;1-(2-Deoxy-beta-D-ribofuranosyl)cytosine;Desoxycytidine;Desoxycytidin;2'-deoxy-cytidine;deoxy-Cytidine;2' Deoxycytidine;2-deoxy-Cytidine;4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]pyrimidin-2(1H)-one;1-(2-Deoxy-b-D-ribofuranosyl)cytosine;4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one;4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]pyrimidin-2-one;1-(2-deoxy-.beta.-d-ribofuranosyl)cytosine;1-(2-Deoxy-beta-delta-ribofuranosyl)cytosine;1-(2-deoxy-beta-D-erythro-pentofuranosyl)-Cytosine;1-(2-deoxy-beta-delta-erythro-pentofuranosyl)-Cytosine;4-Amino-1-(2-deoxy-b-D-erythro-pentofuranosyl)-2(1H)-pyrimidinone;2(1H)-Pyrimidinone, 4-amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-;4-amino-1-(2-deoxy-.beta.-d-erythro-pentofuranosyl)-2(1h)-pyrimidinone;4-Amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-2(1H)-pyrimidinone;4-Amino-1-(2-deoxy-beta-delta-erythro-pentofuranosyl)-2(1H)-pyrimidinone;4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydropyrimidin-2-one;2-deoxycytidine",HMDB0000014,C00881,M00343,
Desmosterol,"Desmosterol;DESMOSTEROL;24-Dehydrocholesterol;cholest-5,24-dien-3beta-ol;Cholesta-5,24-dien-3beta-ol;3beta-cholesta-5,24-dien-3-ol;5,24-Cholestadien-3beta-ol;Cholesta-5,24-dien-3-ol;desmesterol;EINECS 206-236-2;Cholesta-5,24-dien-3-ol, (3beta)-;24-dehydro Cholesterol;Cholesta-5,24-dien-3b-ol;CHEMBL455876;Cholesta-5,24-dien-3-beta-ol;Delta5,24-cholestadien-3-beta-ol",HMDB0002719,C01802,,
Dethiobiotin,"Dethiobiotin;d-Desthiobiotin;d-Dethiobiotin;dethiobiotin;Desthiobiotin;Biotin, dethio-;(+)-Dethiobiotin;(4R,5S)-dethiobiotin;6-[(4R,5S)-5-methyl-2-oxoimidazolidin-4-yl]hexanoic acid;(4R-cis)-5-Methyl-2-oxoimidazolidine-4-hexanoic acid;5-Methyl-2-oxo-4-imidazolidinecaproic acid;4-Methyl-5-(omega-carboxyamyl)imidazolidone-2;epsilon-(4-Methyl-5-imidazolidone-2)caproic acid;6-(5-METHYL-2-OXO-IMIDAZOLIDIN-4-YL)-HEXANOIC ACID;5-Methyl-2-oxo-4-imidazolidinehexanoic acid;(4R,5S)-5-methyl-2-oxo-4-imidazolidinehexanoic acid;DTB;4-Imidazolidinehexanoic acid, 5-methyl-2-oxo-, (4R,5S)-;4-Imidazolidinehexanoic acid, 5-methyl-2-oxo-, (4R-cis)-;(4R-cis)-5-methyl-2-oxo-4-imidazolidinehexanoic acid;4-Imidazolidinehexanoic acid, 5-methyl-2-oxo-, (4R,5S)- (8CI,9CI);6-((4R,5S)-5-Methyl-2-oxoimidazolidin-4-yl)hexanoic acid;rac-Desthio Biotin;6-[(4R,5S)-5-methyl-2-oxo-4-imidazolidinyl]hexanoic acid;UNII-I64P0B487B component AUTOLBMXDDTRRT-JGVFFNPUSA-N;6-[(4R,5S)-2-keto-5-methyl-imidazolidin-4-yl]hexanoic acid;F91C55D1-259D-437E-A748-A08C722D274F;6-[(4R,5S)-5-methyl-2-oxidanylidene-imidazolidin-4-yl]hexanoic acid;dethiobiotin;Desthiobiotin;dl-Desthiobiotin;dl-Dethiobiotin;6-(5-methyl-2-oxoimidazolidin-4-yl)hexanoic acid;dl-Dithiobiotin;4-Imidazolidinehexanoic acid, dl-5-methyl-2-oxo-;6-(5-methyl-2-oxo-imidazolidin-4-yl)hexanoic acid",HMDB0003581,C01909,M00357,
dGDP,dGDP;2'-deoxyguanosine-5'-diphosphate;2'-Deoxyguanosine 5'-diphosphate;Deoxyguanosine 5'-diphosphate;deoxyguanosine diphosphate;2'-deoxyguanosine 5'-(trihydrogen diphosphate);deoxyguanosine-diphosphate;2'-Deoxy-GDP;5'-dGDP,HMDB0000960,C00361,M00324,
D-glucose,D-Glucose;glucose;Glucose;D-Glucopyranose;D-Glucopyranoside,NA,C00031,M99081,
dGTP,"dGTP;Deoxyguanosine triphosphate;deoxy-GTP;Deoxyguanosine 5'-triphosphate;2'-Deoxyguanosine 5'-triphosphate;5'-DGTP;2'-deoxyguanosine-5'-triphosphate;2'-Deoxyguanosine 5'-(tetrahydrogen triphosphate);UNII-8C2O37Y44Q;Guanosine 2'-deoxy-, 5'-triphosphate;2'-Deoxyguanosine triphosphate;Guanosine, 2'-deoxy-, 5'-(tetrahydrogen triphosphate);Guanosine 5'-(tetrahydrogen triphosphate), 2'-deoxy- (9CI);deoxyguanosine-triphosphate;2'-Deoxy-5'-GTP;Deoxyguanosine  triphosphate;Guanosine 5'-(tetrahydrogen triphosphate), 2'-deoxy-;2'-Deoxyguanosine, 5'-triphosphate;DB02181;Guanosine, 2'-deoxy-, 5'-triphosphate",HMDB0001440,C00286,M00310,
Dihydrofolic acid,"Dihydrofolic acid;Dihydrofolic acid;dihydrofolate;7,8-Dihydrofolic acid;7,8-dihydrofolate;7,8-Dihydropteroylglutamate;7,8-Dihydro-L-folic acid;DIHYDROFOLICACID;(2S)-2-[[4-[(2-amino-4-oxo-7,8-dihydro-1H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid",HMDB0001056,C00415,M02740,
Dihydrothymine,"Dihydrothymine;Dihydrothymine;5,6-Dihydro-5-methyluracil;5,6-Dihydrothymine;5-Methyl-5,6-dihydrouracil;5-Methyldihydropyrimidine-2,4(1H,3H)-dione;5-methyl-1,3-diazinane-2,4-dione;Hydrouracil, 5-methyl-;2,4(1H,3H)-Pyrimidinedione, dihydro-5-methyl-;dihydro-5-methyl-2,4(1H,3H)-Pyrimidinedione;5,6-Dihydro-2,4-dihydroxy-5-methylpyrimidine;5-methyl-hydrouracil;5-methyl-1,3,5,6-tetrahydropyrimidine-2,4-dione;dihydrothymine crystalline;Thymine, 5,6-dihydro-;2,3H)-Pyrimidinedione, dihydro-5-methyl-",HMDB0000079,C00906,M99105,
Dimethyltryptamine,"Dimethyltryptamine;N,N-DIMETHYLTRYPTAMINE;DIMETHYLTRYPTAMINE;2-(3-Indolyl)ethyldimethylamine;3-(2-Dimethylaminoethyl)indole;N,N-Dimethyl-1H-indole-3-ethylamine;2-(1H-Indol-3-yl)-N,N-dimethylethanamine;1H-Indole-3-ethanamine, N,N-dimethyl-;UNII-WUB601BHAA;3-[2-(dimethylamino)ethyl]indole;N,N-dimethyl-1H-Indole-3-ethanamine;(2-Indol-3-ylethyl)dimethylamine;Indole, 3-(2-(dimethylamino)ethyl)-;Indole, 3-[2-(dimethylamino)ethyl]-;[2-(1H-INDOL-3-YL)-ETHYL]-DIMETHYL-AMINE;(psychogenic);Indolalkylamine der;NN-Dimethyltryptamine;1H-Indole-3-ethanamine,N,N-dimethyl-;(N,N)-Dimethyltryptamine;3-(dimethylaminoethyl)-indole;2-(1H-INDOL-3-YL)-N,N-DIMETHYL-ETHANAMINE;3-(2-(dimethylamino)ethyl)-Indole;3-[2- (dimethylamino)ethyl]-Indole;[2-(1H-indol-3-yl)ethyl]dimethylamine;3-(2-DIMETHYLAMINOETHYL) INDOLE;2-(1H-indol-3-yl)-ethyl-dimethyl-amine;2-(1H-indol-3-yl)-N,N-dimethylethylamine;1H-INDOLE-3-ETHANAMINE,N,N-DIMETHYL",HMDB0005973,C08302,,
Dopamine,"Dopamine;dopamine;3-Hydroxytyramine;Dopamin;Hydroxytyramin;Oxytyramine;3,4-dihydroxyphenethylamine;intropin;Dophamine;2-(3,4-dihydroxyphenyl)ethylamine;4-(2-Aminoethyl)catechol;hydroxytyramine;Dopaminum;4-(2-Aminoethyl)pyrocatechol;4-(2-Aminoethyl)-1,2-benzenediol;3,4-Dihydroxyphenylethylamine;Dopamina;L-DOPAMINE;Pyrocatechol, 4-(2-aminoethyl)-;1,2-Benzenediol, 4-(2-aminoethyl)-;3-Hydroxtyramine;alpha-(3,4-Dihydroxyphenyl)-beta-aminoethane;Sinemet;4-(2-aminoethyl)-pyrocatechol;Dynatra;a-(3,4-Dihydroxyphenyl)-b-aminoethane;4-(2-Aminoethyl)-1,2-bezenediol;.alpha.-(3,4-Dihydroxyphenyl)-.beta.-aminoethane;(3H)-Dopamine;Pyrocatechol, 4-(2-aminoethyl)-, hydrochloride;4-(2-Aminoethyl)-1,2-benzenediol hydrochloride;.beta.-(3,4-Dihydroxyphenyl)ethylamine hydrochloride;m-Hydroxytyramine-;2-(3, 4-Dihydroxyphenyl)ethylamine;2-(3,4-dihydroxyphenyl) ethylamine;3,4-DihydroxyphenylA currencythylamin;2-(3,4-Dihydroxyphenyl)-1-ethanamine;4-(2-Amino-ethyl)-benzene-1,2-diol;4-(2-aminoethyl)pyrocatechol;hydrochloride;2-(4-Hydroxy-5-oxylatophenyl)-1-ethanaminium;4-(2-azanylethyl)benzene-1,2-diol;hydrochloride;Oseltamivir-d3;Hydroxytyramin;4-(2-Aminoethyl)benzene-1,2-diol",HMDB0000073,C03758,M00341,
